date,count
2022-08-24,3365599
2022-08-25,3371820
2022-08-26,3378245
2022-08-27,3384903
2022-08-28,3391440
2022-08-29,3398645
2022-08-30,3405702
2022-08-31,3413032
2022-09-01,3420048
2022-09-02,3426398
2022-09-03,3434097
2022-09-04,3441613
2022-09-05,3447907
2022-09-06,3454232
2022-09-07,3460685
2022-09-08,3467109
2022-09-09,3472876
2022-09-10,3479153
2022-09-11,3485658
2022-09-12,3491246
2022-09-13,3496310
2022-09-14,3501420
2022-09-15,3507021
2022-09-16,3512518
2022-09-17,3518686
2022-09-18,3524853
2022-09-19,3530966
2022-09-20,3536257
2022-09-21,3541720
2022-09-22,3547228
2022-09-23,3553519
2022-09-24,3559786
2022-09-25,3566053
2022-09-26,3571492
2022-09-27,3577340
2022-09-28,3583465
2022-09-29,3590161
2022-09-30,3595750
2022-10-01,3602661
2022-10-02,3610405
2022-10-03,3617648
2022-10-04,3624814
