date,count
2022-09-28,0
2022-09-29,25210
2022-09-30,189317
2022-10-01,297364
2022-10-02,382205
2022-10-03,441887
2022-10-04,499518
2022-10-05,549798
2022-10-06,602995
2022-10-07,653728
2022-10-08,704918
2022-10-09,749606
2022-10-10,793076
2022-10-11,829737
2022-10-12,864944
2022-10-13,899410
2022-10-14,932334
2022-10-15,970636
2022-10-16,1007471
2022-10-17,1040366
2022-10-18,1071415
2022-10-19,1103004
2022-10-20,1135680
2022-10-21,1163705
2022-10-22,1194379
2022-10-23,1224282
2022-10-24,1250350
2022-10-25,1274934
2022-10-26,1298599
2022-10-27,1322276
2022-10-28,1346065
2022-10-29,1373245
2022-10-30,1402410
2022-10-31,1427701
2022-11-01,1450039
2022-11-02,1472479
2022-11-03,1498412
2022-11-04,1518799
2022-11-05,1541687
2022-11-06,1562653
2022-11-07,1582264
2022-11-08,1600946
2022-11-09,1619730
2022-11-10,1637747
2022-11-11,1655304
2022-11-12,1676854
2022-11-13,1697454
2022-11-14,1715295
2022-11-15,1732772
2022-11-16,1750289
2022-11-17,1766957
2022-11-18,1784199
2022-11-19,1803237
2022-11-20,1820987
2022-11-21,1836312
2022-11-22,1851447
2022-11-23,1868723
2022-11-24,1883628
2022-11-25,1899154
