date,count
2022-08-24,3430797
2022-08-25,3437097
2022-08-26,3443263
2022-08-27,3449927
2022-08-28,3456120
2022-08-29,3461917
2022-08-30,3467651
2022-08-31,3473447
2022-09-01,3478942
2022-09-02,3483862
2022-09-03,3490532
2022-09-04,3496951
2022-09-05,3502242
2022-09-06,3507634
2022-09-07,3512782
2022-09-08,3517865
2022-09-09,3522664
2022-09-10,3528560
2022-09-11,3534306
2022-09-12,3539046
2022-09-13,3543318
2022-09-14,3547740
2022-09-15,3552527
2022-09-16,3557021
2022-09-17,3562858
2022-09-18,3568723
2022-09-19,3574307
2022-09-20,3579098
2022-09-21,3584176
2022-09-22,3590062
2022-09-23,3596306
2022-09-24,3601319
2022-09-25,3606535
2022-09-26,3610623
2022-09-27,3614775
2022-09-28,3618815
2022-09-29,3622907
2022-09-30,3626421
2022-10-01,3630965
2022-10-02,3635770
2022-10-03,3639650
2022-10-04,3643461
2022-10-05,3647116
2022-10-06,3651377
2022-10-07,3655825
2022-10-08,3660817
2022-10-09,3665447
2022-10-10,3670383
2022-10-11,3674290
2022-10-12,3678118
2022-10-13,3682064
2022-10-14,3685943
2022-10-15,3690682
2022-10-16,3695459
2022-10-17,3699503
2022-10-18,3703309
2022-10-19,3706974
2022-10-20,3710804
2022-10-21,3714224
2022-10-22,3718297
2022-10-23,3722250
2022-10-24,3725538
2022-10-25,3728470
2022-10-26,3731570
2022-10-27,3734544
2022-10-28,3738239
2022-10-29,3742601
2022-10-30,3746829
2022-10-31,3750141
2022-11-01,3753281
2022-11-02,3756527
2022-11-03,3760856
2022-11-04,3763764
2022-11-05,3767527
2022-11-06,3771205
2022-11-07,3774753
2022-11-08,3777728
2022-11-09,3780809
2022-11-10,3783733
2022-11-11,3786741
2022-11-12,3790802
2022-11-13,3794562
2022-11-14,3797922
2022-11-15,3801231
2022-11-16,3804534
2022-11-17,3807887
2022-11-18,3811023
2022-11-19,3814780
2022-11-20,3818196
2022-11-21,3820920
2022-11-22,3823700
2022-11-23,3827199
2022-11-24,3830049
2022-11-25,3832703
2022-11-26,3836027
2022-11-27,3839485
2022-11-28,3842272
2022-11-29,3845046
2022-11-30,3847762
2022-12-01,3850524
2022-12-02,3853236
2022-12-03,3856641
2022-12-04,3859954
2022-12-05,3862544
2022-12-06,3865307
2022-12-07,3868355
2022-12-08,3871496
2022-12-09,3874436
2022-12-10,3877771
2022-12-11,3880877
2022-12-12,3883797
2022-12-13,3886683
2022-12-14,3889512
2022-12-15,3892242
2022-12-16,3895002
2022-12-17,3898149
2022-12-18,3901036
2022-12-19,3903551
2022-12-20,3906268
2022-12-21,3909184
2022-12-22,3912003
2022-12-23,3914908
2022-12-24,3917516
2022-12-25,3920087
2022-12-26,3923273
2022-12-27,3926335
2022-12-28,3929327
2022-12-29,3932045
2022-12-30,3934688
2022-12-31,3937422
2023-01-01,3939639
2023-01-02,3942061
2023-01-03,3944697
2023-01-04,3947458
2023-01-05,3950134
2023-01-06,3952997
2023-01-07,3955710
2023-01-08,3958379
2023-01-09,3961685
2023-01-10,3963929
2023-01-11,3967135
2023-01-12,3970106
2023-01-13,3972768
2023-01-14,3976122
