date,count
2022-09-06,0
2022-09-07,24098
2022-09-08,95311
2022-09-09,111616
2022-09-10,123981
2022-09-11,133324
2022-09-12,140477
2022-09-13,146354
2022-09-14,152027
2022-09-15,158064
2022-09-16,163494
2022-09-17,169521
2022-09-18,175507
2022-09-19,181169
2022-09-20,185920
2022-09-21,190504
2022-09-22,195353
2022-09-23,200886
2022-09-24,206306
2022-09-25,211610
2022-09-26,215761
2022-09-27,219798
2022-09-28,224024
2022-09-29,228313
2022-09-30,232249
2022-10-01,237521
2022-10-02,242748
2022-10-03,246843
2022-10-04,250989
2022-10-05,254897
2022-10-06,259504
2022-10-07,263895
2022-10-08,268632
2022-10-09,272959
2022-10-10,277761
2022-10-11,281478
2022-10-12,284925
2022-10-13,288402
2022-10-14,291736
2022-10-15,295594
2022-10-16,299363
2022-10-17,302637
2022-10-18,305979
2022-10-19,309152
2022-10-20,312942
2022-10-21,315984
2022-10-22,319624
2022-10-23,323223
2022-10-24,326095
2022-10-25,328664
2022-10-26,331514
2022-10-27,334124
2022-10-28,337001
2022-10-29,339995
2022-10-30,343071
2022-10-31,345403
2022-11-01,347626
2022-11-02,349794
2022-11-03,352490
2022-11-04,354729
2022-11-05,357222
2022-11-06,359560
