date,count
2022-10-06,3
2022-10-07,187342
2022-10-08,396777
2022-10-09,491392
2022-10-10,584025
2022-10-11,658721
2022-10-12,723864
2022-10-13,783311
2022-10-14,837787
2022-10-15,888283
2022-10-16,937068
2022-10-17,981989
2022-10-18,1025139
2022-10-19,1066093
2022-10-20,1107268
2022-10-21,1147094
2022-10-22,1188444
2022-10-23,1230263
2022-10-24,1267420
2022-10-25,1301562
2022-10-26,1333791
2022-10-27,1363715
2022-10-28,1397190
2022-10-29,1433290
2022-10-30,1471192
2022-10-31,1505213
2022-11-01,1537513
2022-11-02,1568707
2022-11-03,1603490
2022-11-04,1632379
2022-11-05,1662402
2022-11-06,1689666
2022-11-07,1718468
2022-11-08,1744172
2022-11-09,1769433
2022-11-10,1793590
2022-11-11,1817329
2022-11-12,1846942
2022-11-13,1875676
2022-11-14,1901073
2022-11-15,1924350
2022-11-16,1947253
2022-11-17,1969894
2022-11-18,1992699
2022-11-19,2018217
2022-11-20,2041979
2022-11-21,2063214
2022-11-22,2084493
2022-11-23,2108725
2022-11-24,2130919
2022-11-25,2152296
2022-11-26,2174837
2022-11-27,2198197
2022-11-28,2219428
2022-11-29,2241290
2022-11-30,2262446
2022-12-01,2282206
2022-12-02,2302408
2022-12-03,2324663
2022-12-04,2347131
2022-12-05,2364752
2022-12-06,2383231
2022-12-07,2401645
2022-12-08,2419954
2022-12-09,2437229
2022-12-10,2457625
2022-12-11,2476447
2022-12-12,2493849
2022-12-13,2511249
2022-12-14,2529300
2022-12-15,2546527
2022-12-16,2563613
2022-12-17,2582536
2022-12-18,2599175
2022-12-19,2614645
2022-12-20,2631414
2022-12-21,2648249
2022-12-22,2664378
2022-12-23,2681879
2022-12-24,2698813
2022-12-25,2715742
2022-12-26,2735596
2022-12-27,2757135
2022-12-28,2777080
2022-12-29,2795761
