date,count
2022-08-24,2443126
2022-08-25,2447495
2022-08-26,2452084
2022-08-27,2456945
2022-08-28,2461841
2022-08-29,2466553
2022-08-30,2471037
2022-08-31,2475597
2022-09-01,2479645
2022-09-02,2483035
2022-09-03,2488148
2022-09-04,2492722
2022-09-05,2496603
2022-09-06,2500538
2022-09-07,2504243
2022-09-08,2508041
2022-09-09,2511775
2022-09-10,2516323
2022-09-11,2521175
2022-09-12,2524892
2022-09-13,2528506
2022-09-14,2531818
2022-09-15,2535465
2022-09-16,2538971
2022-09-17,2543344
2022-09-18,2547660
2022-09-19,2551571
2022-09-20,2555070
2022-09-21,2558596
2022-09-22,2562088
2022-09-23,2566299
2022-09-24,2570320
2022-09-25,2574349
2022-09-26,2578182
2022-09-27,2581876
2022-09-28,2585532
2022-09-29,2589677
2022-09-30,2593019
2022-10-01,2597150
2022-10-02,2601727
2022-10-03,2605436
2022-10-04,2609343
2022-10-05,2613305
2022-10-06,2617375
2022-10-07,2621387
2022-10-08,2626029
2022-10-09,2630344
2022-10-10,2635056
2022-10-11,2638820
2022-10-12,2642601
2022-10-13,2646255
2022-10-14,2649737
2022-10-15,2654379
2022-10-16,2658797
2022-10-17,2662646
2022-10-18,2666509
2022-10-19,2670159
2022-10-20,2673667
2022-10-21,2676830
2022-10-22,2680530
2022-10-23,2684717
2022-10-24,2688480
2022-10-25,2691932
2022-10-26,2695364
2022-10-27,2698666
2022-10-28,2702457
2022-10-29,2706611
2022-10-30,2710881
2022-10-31,2714176
2022-11-01,2717526
2022-11-02,2720848
2022-11-03,2724564
2022-11-04,2727780
2022-11-05,2731418
2022-11-06,2734981
2022-11-07,2738725
2022-11-08,2741661
2022-11-09,2744707
2022-11-10,2747694
2022-11-11,2750729
2022-11-12,2754355
2022-11-13,2758103
2022-11-14,2761367
2022-11-15,2764295
2022-11-16,2767223
2022-11-17,2770152
2022-11-18,2773153
2022-11-19,2776635
2022-11-20,2780036
2022-11-21,2782972
2022-11-22,2785974
2022-11-23,2789346
2022-11-24,2792377
2022-11-25,2795427
2022-11-26,2799051
2022-11-27,2802971
2022-11-28,2806258
2022-11-29,2809308
2022-11-30,2812458
2022-12-01,2815367
2022-12-02,2818230
2022-12-03,2821525
2022-12-04,2825105
2022-12-05,2828012
2022-12-06,2830947
2022-12-07,2834070
2022-12-08,2837150
2022-12-09,2840139
2022-12-10,2843638
2022-12-11,2846686
2022-12-12,2849671
2022-12-13,2852503
2022-12-14,2855398
2022-12-15,2858186
2022-12-16,2860862
2022-12-17,2864000
2022-12-18,2867227
2022-12-19,2869929
2022-12-20,2872683
2022-12-21,2875582
2022-12-22,2878412
2022-12-23,2881515
2022-12-24,2884493
2022-12-25,2887567
2022-12-26,2890758
2022-12-27,2893966
2022-12-28,2897216
2022-12-29,2900410
2022-12-30,2903431
2022-12-31,2906487
2023-01-01,2909055
2023-01-02,2912001
2023-01-03,2914824
2023-01-04,2917808
2023-01-05,2920819
2023-01-06,2923859
2023-01-07,2926776
2023-01-08,2929790
2023-01-09,2933264
2023-01-10,2935812
2023-01-11,2938947
2023-01-12,2941919
2023-01-13,2944676
2023-01-14,2947877
2023-01-15,2951219
2023-01-16,2953946
2023-01-17,2956644
2023-01-18,2959579
2023-01-19,2962542
2023-01-20,2965417
2023-01-21,2968679
2023-01-22,2971868
2023-01-23,2974887
2023-01-24,2978006
2023-01-25,2981020
2023-01-26,2983854
2023-01-27,2986621
2023-01-28,2989688
2023-01-29,2992836
2023-01-30,2996014
2023-01-31,2999087
2023-02-01,3002158
2023-02-02,3005127
2023-02-03,3008158
2023-02-04,3011845
2023-02-05,3015315
2023-02-06,3018016
2023-02-07,3020858
2023-02-08,3023698
2023-02-09,3026516
2023-02-10,3029622
2023-02-11,3032623
2023-02-12,3035998
2023-02-13,3038881
2023-02-14,3041923
2023-02-15,3045155
2023-02-16,3047975
2023-02-17,3050755
2023-02-18,3054137
2023-02-19,3057531
2023-02-20,3060356
2023-02-21,3063071
2023-02-22,3065678
2023-02-23,3068729
2023-02-24,3071493
2023-02-25,3074511
2023-02-26,3077736
2023-02-27,3080552
2023-02-28,3083462
2023-03-01,3086398
2023-03-02,3089221
2023-03-03,3092227
2023-03-04,3095494
2023-03-05,3098975
2023-03-06,3101740
2023-03-07,3104653
2023-03-08,3107568
2023-03-09,3110043
