date,count
2022-08-24,2443126
2022-08-25,2447495
2022-08-26,2452084
2022-08-27,2456945
2022-08-28,2461841
2022-08-29,2466553
2022-08-30,2471037
2022-08-31,2475597
2022-09-01,2479645
2022-09-02,2483035
2022-09-03,2488148
2022-09-04,2492722
2022-09-05,2496603
2022-09-06,2500538
2022-09-07,2504243
2022-09-08,2508041
2022-09-09,2511775
2022-09-10,2516323
2022-09-11,2521175
2022-09-12,2524892
2022-09-13,2528506
2022-09-14,2531818
2022-09-15,2535465
2022-09-16,2538971
2022-09-17,2543344
2022-09-18,2547660
2022-09-19,2551571
2022-09-20,2555070
2022-09-21,2558596
2022-09-22,2562088
2022-09-23,2566299
2022-09-24,2570320
2022-09-25,2574349
2022-09-26,2578182
2022-09-27,2581876
2022-09-28,2585532
2022-09-29,2589677
2022-09-30,2593019
2022-10-01,2597150
2022-10-02,2601727
2022-10-03,2605436
2022-10-04,2609343
2022-10-05,2613305
2022-10-06,2617375
2022-10-07,2621387
2022-10-08,2626029
2022-10-09,2630344
2022-10-10,2635056
2022-10-11,2638820
2022-10-12,2642601
2022-10-13,2646255
2022-10-14,2649737
2022-10-15,2654379
2022-10-16,2658797
2022-10-17,2662646
2022-10-18,2666509
2022-10-19,2670159
2022-10-20,2673667
2022-10-21,2676830
2022-10-22,2680530
2022-10-23,2684717
2022-10-24,2688480
2022-10-25,2691932
2022-10-26,2695364
2022-10-27,2698666
2022-10-28,2702457
2022-10-29,2706611
2022-10-30,2710881
2022-10-31,2714176
2022-11-01,2717526
2022-11-02,2720848
2022-11-03,2724564
2022-11-04,2727780
2022-11-05,2731418
2022-11-06,2734981
