date,count
2022-08-24,1747518
2022-08-25,1749519
2022-08-26,1751570
2022-08-27,1753689
2022-08-28,1755627
2022-08-29,1757513
2022-08-30,1759309
2022-08-31,1761083
2022-09-01,1762759
2022-09-02,1764270
2022-09-03,1766194
2022-09-04,1768075
2022-09-05,1769738
2022-09-06,1771490
2022-09-07,1773079
2022-09-08,1774603
2022-09-09,1776070
2022-09-10,1777760
2022-09-11,1779593
2022-09-12,1781157
2022-09-13,1782637
2022-09-14,1784090
2022-09-15,1785689
2022-09-16,1787288
2022-09-17,1789122
2022-09-18,1791013
2022-09-19,1792935
2022-09-20,1794568
2022-09-21,1796125
2022-09-22,1797747
2022-09-23,1799558
2022-09-24,1801371
2022-09-25,1803204
2022-09-26,1805030
2022-09-27,1806766
2022-09-28,1808499
2022-09-29,1810163
2022-09-30,1811680
2022-10-01,1813616
2022-10-02,1816012
2022-10-03,1817922
2022-10-04,1820177
2022-10-05,1822340
2022-10-06,1824454
2022-10-07,1826389
2022-10-08,1828517
2022-10-09,1830650
2022-10-10,1832913
2022-10-11,1834921
2022-10-12,1836757
2022-10-13,1838735
2022-10-14,1840636
2022-10-15,1842544
