date,count
2022-08-24,2954782
2022-08-25,2960508
2022-08-26,2966329
2022-08-27,2972933
2022-08-28,2979033
2022-08-29,2984839
2022-08-30,2990337
2022-08-31,2996217
2022-09-01,3001823
2022-09-02,3006762
2022-09-03,3013458
2022-09-04,3019975
2022-09-05,3025418
2022-09-06,3031067
2022-09-07,3036241
2022-09-08,3041428
2022-09-09,3046317
2022-09-10,3052242
2022-09-11,3057917
2022-09-12,3062756
2022-09-13,3067255
2022-09-14,3071881
2022-09-15,3076854
2022-09-16,3081722
2022-09-17,3088042
2022-09-18,3094614
2022-09-19,3100868
2022-09-20,3106095
2022-09-21,3111306
2022-09-22,3116508
2022-09-23,3122787
2022-09-24,3128508
2022-09-25,3134268
2022-09-26,3139239
2022-09-27,3144294
2022-09-28,3149407
2022-09-29,3155162
2022-09-30,3159812
2022-10-01,3165975
2022-10-02,3172542
2022-10-03,3178046
2022-10-04,3183745
2022-10-05,3189312
2022-10-06,3195105
