date,count
2022-08-24,1432974
2022-08-25,1434599
2022-08-26,1436226
2022-08-27,1437865
2022-08-28,1439429
2022-08-29,1440775
2022-08-30,1442127
2022-08-31,1443536
2022-09-01,1444750
2022-09-02,1445952
2022-09-03,1447573
2022-09-04,1449174
2022-09-05,1450400
2022-09-06,1451691
2022-09-07,1452886
2022-09-08,1454068
2022-09-09,1455194
2022-09-10,1456521
2022-09-11,1457918
2022-09-12,1459043
2022-09-13,1460112
2022-09-14,1461124
2022-09-15,1462229
2022-09-16,1463319
2022-09-17,1464788
2022-09-18,1466285
2022-09-19,1467747
2022-09-20,1468939
2022-09-21,1470065
2022-09-22,1471393
2022-09-23,1472917
2022-09-24,1474430
2022-09-25,1475933
2022-09-26,1477200
2022-09-27,1478440
2022-09-28,1479651
2022-09-29,1480891
2022-09-30,1481862
2022-10-01,1483221
2022-10-02,1484672
2022-10-03,1485843
2022-10-04,1487160
2022-10-05,1488495
2022-10-06,1489807
2022-10-07,1491207
2022-10-08,1492744
2022-10-09,1494092
2022-10-10,1495586
2022-10-11,1496807
2022-10-12,1498126
2022-10-13,1499354
2022-10-14,1500563
2022-10-15,1501993
2022-10-16,1503525
2022-10-17,1504822
2022-10-18,1506036
2022-10-19,1507281
2022-10-20,1508611
2022-10-21,1509763
2022-10-22,1511067
2022-10-23,1512398
2022-10-24,1513533
2022-10-25,1514567
2022-10-26,1515603
2022-10-27,1516667
2022-10-28,1517948
2022-10-29,1519361
2022-10-30,1520857
2022-10-31,1522051
2022-11-01,1523101
2022-11-02,1524112
2022-11-03,1525342
2022-11-04,1526386
2022-11-05,1527563
2022-11-06,1528808
2022-11-07,1529801
2022-11-08,1530723
2022-11-09,1531712
2022-11-10,1532671
2022-11-11,1533657
2022-11-12,1534979
2022-11-13,1536324
2022-11-14,1537409
2022-11-15,1538427
2022-11-16,1539458
2022-11-17,1540452
2022-11-18,1541402
2022-11-19,1542448
2022-11-20,1543561
2022-11-21,1544451
2022-11-22,1545402
2022-11-23,1546459
2022-11-24,1547328
2022-11-25,1548144
2022-11-26,1549092
2022-11-27,1550226
2022-11-28,1551045
2022-11-29,1551828
2022-11-30,1552625
2022-12-01,1553474
2022-12-02,1554333
2022-12-03,1555404
2022-12-04,1556505
2022-12-05,1557404
2022-12-06,1558310
2022-12-07,1559216
2022-12-08,1560094
2022-12-09,1561012
2022-12-10,1562027
2022-12-11,1563002
2022-12-12,1563826
2022-12-13,1564675
2022-12-14,1565542
2022-12-15,1566413
2022-12-16,1567270
2022-12-17,1568287
2022-12-18,1569334
2022-12-19,1570231
2022-12-20,1571114
2022-12-21,1572089
2022-12-22,1573074
2022-12-23,1573985
2022-12-24,1574906
2022-12-25,1575867
2022-12-26,1576978
2022-12-27,1578024
2022-12-28,1579030
2022-12-29,1580015
2022-12-30,1580899
2022-12-31,1581814
2023-01-01,1582555
2023-01-02,1583453
2023-01-03,1584411
2023-01-04,1585304
2023-01-05,1586159
2023-01-06,1587097
2023-01-07,1588049
2023-01-08,1588943
2023-01-09,1590187
2023-01-10,1591028
2023-01-11,1591953
2023-01-12,1592915
2023-01-13,1593793
2023-01-14,1594923
2023-01-15,1596112
2023-01-16,1597069
2023-01-17,1597982
2023-01-18,1598905
2023-01-19,1599754
2023-01-20,1600649
2023-01-21,1601708
2023-01-22,1602835
2023-01-23,1603779
2023-01-24,1604679
2023-01-25,1605594
2023-01-26,1606410
2023-01-27,1607182
2023-01-28,1608132
2023-01-29,1609104
2023-01-30,1609950
2023-01-31,1610764
2023-02-01,1611569
2023-02-02,1612397
2023-02-03,1613276
2023-02-04,1614152
2023-02-05,1615106
2023-02-06,1615871
2023-02-07,1616711
2023-02-08,1617518
2023-02-09,1618285
2023-02-10,1619313
2023-02-11,1620393
2023-02-12,1621469
2023-02-13,1622319
2023-02-14,1623236
2023-02-15,1624274
2023-02-16,1625030
2023-02-17,1625935
2023-02-18,1626966
2023-02-19,1627912
2023-02-20,1628702
2023-02-21,1629562
2023-02-22,1630432
2023-02-23,1631380
2023-02-24,1632183
2023-02-25,1633048
2023-02-26,1633885
2023-02-27,1634619
2023-02-28,1635305
2023-03-01,1636006
2023-03-02,1636734
2023-03-03,1637495
2023-03-04,1638402
2023-03-05,1639324
2023-03-06,1640097
2023-03-07,1640846
2023-03-08,1641660
2023-03-09,1642373
2023-03-10,1643163
2023-03-11,1644023
2023-03-12,1644898
2023-03-13,1645739
2023-03-14,1646573
2023-03-15,1647438
2023-03-16,1648220
2023-03-17,1649026
2023-03-18,1649897
2023-03-19,1650686
2023-03-20,1651457
2023-03-21,1652338
2023-03-22,1653184
2023-03-23,1653950
2023-03-24,1654966
2023-03-25,1655865
2023-03-26,1656786
2023-03-27,1657699
2023-03-28,1658591
2023-03-29,1659562
2023-03-30,1660540
2023-03-31,1661516
2023-04-01,1662338
2023-04-02,1663220
2023-04-03,1664256
2023-04-04,1665341
2023-04-05,1666398
2023-04-06,1667328
2023-04-07,1668217
2023-04-08,1669138
2023-04-09,1670057
2023-04-10,1670781
2023-04-11,1671555
2023-04-12,1672331
2023-04-13,1673066
2023-04-14,1673808
2023-04-15,1674623
2023-04-16,1675454
2023-04-17,1676151
2023-04-18,1676828
