date,count
2022-08-24,5490586
2022-08-25,5503541
2022-08-26,5516587
2022-08-27,5529669
2022-08-28,5542941
2022-08-29,5556135
2022-08-30,5568670
2022-08-31,5581629
2022-09-01,5594070
2022-09-02,5605760
2022-09-03,5620347
2022-09-04,5634315
2022-09-05,5646625
2022-09-06,5659420
2022-09-07,5671915
2022-09-08,5684389
2022-09-09,5696155
2022-09-10,5709441
2022-09-11,5722209
2022-09-12,5734288
2022-09-13,5745545
2022-09-14,5756359
2022-09-15,5769197
2022-09-16,5781147
2022-09-17,5794799
2022-09-18,5809272
2022-09-19,5823001
2022-09-20,5835322
2022-09-21,5846978
2022-09-22,5858902
2022-09-23,5872840
2022-09-24,5886151
2022-09-25,5900896
2022-09-26,5914484
2022-09-27,5928694
2022-09-28,5942540
2022-09-29,5957576
2022-09-30,5969478
2022-10-01,5984068
2022-10-02,6000589
2022-10-03,6015572
2022-10-04,6031318
2022-10-05,6046719
2022-10-06,6062267
2022-10-07,6077331
2022-10-08,6094436
2022-10-09,6109822
2022-10-10,6126214
2022-10-11,6140758
2022-10-12,6153924
2022-10-13,6167593
2022-10-14,6180465
2022-10-15,6194886
2022-10-16,6210162
2022-10-17,6223860
2022-10-18,6237118
2022-10-19,6248880
2022-10-20,6260434
2022-10-21,6271534
2022-10-22,6284107
2022-10-23,6296376
2022-10-24,6307512
2022-10-25,6317656
2022-10-26,6328008
2022-10-27,6338482
2022-10-28,6350111
2022-10-29,6362841
2022-10-30,6376615
2022-10-31,6388319
2022-11-01,6399871
2022-11-02,6411428
2022-11-03,6424238
2022-11-04,6434946
2022-11-05,6446533
2022-11-06,6458409
2022-11-07,6470057
2022-11-08,6480084
2022-11-09,6490393
2022-11-10,6500803
2022-11-11,6511395
2022-11-12,6524158
2022-11-13,6537388
2022-11-14,6549647
