date,count
2022-08-24,2608292
2022-08-25,2611247
2022-08-26,2614806
2022-08-27,2619706
2022-08-28,2623631
2022-08-29,2626818
2022-08-30,2629823
2022-08-31,2632711
2022-09-01,2635224
2022-09-02,2637403
2022-09-03,2640362
2022-09-04,2643159
2022-09-05,2645404
2022-09-06,2647692
2022-09-07,2649804
2022-09-08,2651815
2022-09-09,2653828
2022-09-10,2656159
2022-09-11,2658351
2022-09-12,2660202
2022-09-13,2662031
2022-09-14,2663658
2022-09-15,2665799
2022-09-16,2667736
2022-09-17,2669917
2022-09-18,2672234
2022-09-19,2674475
2022-09-20,2676392
2022-09-21,2678272
2022-09-22,2680282
2022-09-23,2682729
2022-09-24,2685129
2022-09-25,2687500
2022-09-26,2689314
2022-09-27,2691155
2022-09-28,2693017
2022-09-29,2695242
2022-09-30,2696973
2022-10-01,2699286
2022-10-02,2701749
2022-10-03,2703776
2022-10-04,2705908
2022-10-05,2707962
2022-10-06,2710214
2022-10-07,2712575
2022-10-08,2715310
2022-10-09,2717777
2022-10-10,2720386
2022-10-11,2722372
2022-10-12,2724446
2022-10-13,2726468
2022-10-14,2728442
2022-10-15,2730758
2022-10-16,2733219
2022-10-17,2735148
2022-10-18,2736969
2022-10-19,2738835
2022-10-20,2740829
2022-10-21,2742563
2022-10-22,2744759
2022-10-23,2746967
2022-10-24,2748649
2022-10-25,2750364
2022-10-26,2752077
2022-10-27,2753771
2022-10-28,2755635
2022-10-29,2757649
2022-10-30,2759800
2022-10-31,2761499
2022-11-01,2763059
2022-11-02,2764710
2022-11-03,2766739
2022-11-04,2768303
2022-11-05,2770183
2022-11-06,2772041
2022-11-07,2773740
2022-11-08,2775303
2022-11-09,2776993
2022-11-10,2778657
2022-11-11,2780212
2022-11-12,2782265
2022-11-13,2784417
2022-11-14,2786115
2022-11-15,2787751
2022-11-16,2789454
2022-11-17,2791149
2022-11-18,2792716
2022-11-19,2794556
2022-11-20,2796308
2022-11-21,2797712
2022-11-22,2799082
2022-11-23,2800818
2022-11-24,2802195
2022-11-25,2803548
2022-11-26,2805154
2022-11-27,2806761
2022-11-28,2808083
2022-11-29,2809431
2022-11-30,2810777
2022-12-01,2812150
2022-12-02,2813542
2022-12-03,2815185
2022-12-04,2816801
2022-12-05,2818128
2022-12-06,2819514
2022-12-07,2820921
2022-12-08,2822351
2022-12-09,2823814
2022-12-10,2825496
2022-12-11,2826941
2022-12-12,2828254
2022-12-13,2829583
2022-12-14,2830963
2022-12-15,2832313
2022-12-16,2833729
2022-12-17,2835275
2022-12-18,2836781
2022-12-19,2838024
2022-12-20,2839431
2022-12-21,2840962
2022-12-22,2842434
2022-12-23,2843996
2022-12-24,2845442
2022-12-25,2847057
2022-12-26,2848750
2022-12-27,2850380
2022-12-28,2851916
2022-12-29,2853362
2022-12-30,2854694
2022-12-31,2856088
2023-01-01,2857189
2023-01-02,2858336
2023-01-03,2859583
2023-01-04,2860984
2023-01-05,2862367
