date,count
2022-08-24,3722874
2022-08-25,3727349
2022-08-26,3731809
2022-08-27,3736509
2022-08-28,3740842
2022-08-29,3744916
2022-08-30,3748977
2022-08-31,3752946
2022-09-01,3756777
2022-09-02,3760283
2022-09-03,3765094
2022-09-04,3769689
2022-09-05,3773357
2022-09-06,3777236
2022-09-07,3780983
2022-09-08,3784679
2022-09-09,3788112
2022-09-10,3792625
2022-09-11,3797041
2022-09-12,3800743
2022-09-13,3804246
2022-09-14,3807621
2022-09-15,3811473
2022-09-16,3815079
2022-09-17,3819775
2022-09-18,3824452
2022-09-19,3828838
2022-09-20,3832403
2022-09-21,3836066
2022-09-22,3839626
2022-09-23,3843966
2022-09-24,3848163
2022-09-25,3852613
2022-09-26,3856341
2022-09-27,3860312
2022-09-28,3864489
2022-09-29,3868496
2022-09-30,3871932
2022-10-01,3876572
2022-10-02,3881465
2022-10-03,3885672
2022-10-04,3890224
2022-10-05,3894636
2022-10-06,3899511
2022-10-07,3904071
2022-10-08,3909261
2022-10-09,3913782
2022-10-10,3918837
2022-10-11,3922853
2022-10-12,3926677
2022-10-13,3930440
2022-10-14,3934146
2022-10-15,3938961
2022-10-16,3943319
2022-10-17,3946972
2022-10-18,3950459
2022-10-19,3953832
2022-10-20,3957451
2022-10-21,3960889
2022-10-22,3965093
2022-10-23,3969126
2022-10-24,3972682
2022-10-25,3975910
2022-10-26,3979098
2022-10-27,3982145
2022-10-28,3985838
2022-10-29,3990267
2022-10-30,3994927
2022-10-31,3998715
2022-11-01,4002095
2022-11-02,4005255
2022-11-03,4009265
2022-11-04,4012251
2022-11-05,4015870
2022-11-06,4019140
2022-11-07,4022355
2022-11-08,4025175
2022-11-09,4028088
2022-11-10,4030943
2022-11-11,4033733
2022-11-12,4037363
2022-11-13,4040864
2022-11-14,4043874
2022-11-15,4046828
2022-11-16,4049759
2022-11-17,4052771
2022-11-18,4055660
2022-11-19,4059249
2022-11-20,4062643
2022-11-21,4065245
2022-11-22,4068124
