date,count
2022-08-24,1572417
2022-08-25,1574293
2022-08-26,1576195
2022-08-27,1578144
2022-08-28,1580082
2022-08-29,1581838
2022-08-30,1583583
2022-08-31,1585306
2022-09-01,1586811
2022-09-02,1588180
2022-09-03,1590037
2022-09-04,1591974
2022-09-05,1593488
2022-09-06,1595018
2022-09-07,1596542
2022-09-08,1598085
2022-09-09,1599612
2022-09-10,1601326
2022-09-11,1603097
2022-09-12,1604550
2022-09-13,1605934
2022-09-14,1607264
2022-09-15,1608761
2022-09-16,1610205
2022-09-17,1612290
2022-09-18,1614440
2022-09-19,1616513
2022-09-20,1618183
2022-09-21,1619791
2022-09-22,1621526
2022-09-23,1623645
2022-09-24,1625646
2022-09-25,1627710
2022-09-26,1629434
2022-09-27,1631172
2022-09-28,1632907
2022-09-29,1634842
2022-09-30,1636416
2022-10-01,1638399
2022-10-02,1640627
2022-10-03,1642397
2022-10-04,1644397
2022-10-05,1646309
2022-10-06,1648216
2022-10-07,1650232
2022-10-08,1652522
2022-10-09,1654709
2022-10-10,1656966
2022-10-11,1658682
2022-10-12,1660404
2022-10-13,1662248
2022-10-14,1663970
2022-10-15,1665974
2022-10-16,1667972
2022-10-17,1669701
2022-10-18,1671469
2022-10-19,1673113
2022-10-20,1674918
2022-10-21,1676444
2022-10-22,1678271
2022-10-23,1680081
2022-10-24,1681551
2022-10-25,1682893
2022-10-26,1684365
2022-10-27,1685759
2022-10-28,1687272
2022-10-29,1689034
2022-10-30,1690818
2022-10-31,1692374
2022-11-01,1693763
2022-11-02,1695168
2022-11-03,1696796
2022-11-04,1698028
2022-11-05,1699413
2022-11-06,1700822
2022-11-07,1702118
2022-11-08,1703347
2022-11-09,1704664
2022-11-10,1705934
2022-11-11,1707256
2022-11-12,1708928
2022-11-13,1710709
2022-11-14,1712149
2022-11-15,1713618
2022-11-16,1715032
2022-11-17,1716419
2022-11-18,1717731
2022-11-19,1719314
2022-11-20,1720879
2022-11-21,1722081
2022-11-22,1723361
2022-11-23,1724944
2022-11-24,1726318
2022-11-25,1727654
2022-11-26,1729150
2022-11-27,1730689
2022-11-28,1731913
2022-11-29,1733054
2022-11-30,1734277
2022-12-01,1735522
2022-12-02,1736762
2022-12-03,1738173
2022-12-04,1739632
2022-12-05,1740714
2022-12-06,1741949
2022-12-07,1743175
2022-12-08,1744409
2022-12-09,1745623
2022-12-10,1747023
2022-12-11,1748325
2022-12-12,1749595
2022-12-13,1750878
2022-12-14,1752109
2022-12-15,1753261
2022-12-16,1754470
2022-12-17,1755894
2022-12-18,1757219
2022-12-19,1758348
2022-12-20,1759552
2022-12-21,1760776
2022-12-22,1761962
2022-12-23,1763176
2022-12-24,1764425
2022-12-25,1765581
2022-12-26,1766956
2022-12-27,1768278
2022-12-28,1769619
2022-12-29,1770792
2022-12-30,1771941
2022-12-31,1773095
2023-01-01,1774017
2023-01-02,1775034
2023-01-03,1776268
2023-01-04,1777455
2023-01-05,1778650
2023-01-06,1779957
2023-01-07,1781324
2023-01-08,1782624
2023-01-09,1784128
2023-01-10,1785357
2023-01-11,1786638
2023-01-12,1787935
2023-01-13,1789380
2023-01-14,1791831
2023-01-15,1793819
2023-01-16,1795179
2023-01-17,1796429
2023-01-18,1797638
2023-01-19,1798853
2023-01-20,1800019
2023-01-21,1801335
2023-01-22,1802553
2023-01-23,1803576
2023-01-24,1804682
2023-01-25,1805711
2023-01-26,1806712
2023-01-27,1807669
2023-01-28,1808858
2023-01-29,1810002
2023-01-30,1811029
2023-01-31,1812002
2023-02-01,1813017
2023-02-02,1813965
2023-02-03,1814936
2023-02-04,1816059
2023-02-05,1817180
2023-02-06,1818122
2023-02-07,1819017
2023-02-08,1819913
2023-02-09,1820752
2023-02-10,1821703
2023-02-11,1822738
2023-02-12,1823856
2023-02-13,1824728
2023-02-14,1825635
2023-02-15,1826552
2023-02-16,1827273
2023-02-17,1828095
2023-02-18,1829189
2023-02-19,1830273
2023-02-20,1831066
2023-02-21,1831830
2023-02-22,1832708
2023-02-23,1833689
2023-02-24,1834508
2023-02-25,1835432
2023-02-26,1836373
2023-02-27,1837078
2023-02-28,1837843
2023-03-01,1838609
2023-03-02,1839380
2023-03-03,1840200
2023-03-04,1841156
2023-03-05,1842114
2023-03-06,1842824
2023-03-07,1843517
2023-03-08,1844225
2023-03-09,1844975
2023-03-10,1845796
2023-03-11,1846679
2023-03-12,1847597
2023-03-13,1848450
2023-03-14,1849258
2023-03-15,1850120
