date,count
2022-08-24,1896455
2022-08-25,1900432
2022-08-26,1904512
2022-08-27,1908944
2022-08-28,1913413
2022-08-29,1917429
2022-08-30,1921250
2022-08-31,1925049
2022-09-01,1928340
2022-09-02,1931549
2022-09-03,1936096
2022-09-04,1940618
2022-09-05,1944096
2022-09-06,1947746
2022-09-07,1951225
2022-09-08,1954841
2022-09-09,1958236
2022-09-10,1962163
2022-09-11,1966178
2022-09-12,1969634
2022-09-13,1972779
2022-09-14,1976140
2022-09-15,1979577
2022-09-16,1982991
2022-09-17,1986810
2022-09-18,1990746
2022-09-19,1994627
2022-09-20,1998021
2022-09-21,2001366
2022-09-22,2005060
2022-09-23,2009534
2022-09-24,2013481
2022-09-25,2017609
2022-09-26,2021353
2022-09-27,2025101
2022-09-28,2028657
2022-09-29,2032573
2022-09-30,2036279
2022-10-01,2040867
2022-10-02,2045731
2022-10-03,2049883
2022-10-04,2054594
2022-10-05,2059177
2022-10-06,2063535
