date,count
2022-08-24,1181485
2022-08-25,1183560
2022-08-26,1185684
2022-08-27,1187862
2022-08-28,1189909
2022-08-29,1191884
2022-08-30,1193777
2022-08-31,1195746
2022-09-01,1197495
2022-09-02,1199222
2022-09-03,1201520
2022-09-04,1203776
2022-09-05,1205579
2022-09-06,1207452
2022-09-07,1209270
2022-09-08,1211131
2022-09-09,1213087
2022-09-10,1215465
2022-09-11,1217866
2022-09-12,1219761
2022-09-13,1221562
2022-09-14,1223317
2022-09-15,1225374
2022-09-16,1227138
2022-09-17,1229262
2022-09-18,1231446
2022-09-19,1233566
2022-09-20,1235366
2022-09-21,1237146
2022-09-22,1239063
2022-09-23,1241179
2022-09-24,1243252
2022-09-25,1245403
2022-09-26,1247086
2022-09-27,1248922
2022-09-28,1251010
2022-09-29,1253114
2022-09-30,1254892
2022-10-01,1257575
2022-10-02,1259870
2022-10-03,1261652
2022-10-04,1263346
2022-10-05,1264852
2022-10-06,1266436
2022-10-07,1267997
2022-10-08,1269711
2022-10-09,1271311
2022-10-10,1272896
2022-10-11,1274188
2022-10-12,1275431
2022-10-13,1276590
2022-10-14,1277684
2022-10-15,1278989
2022-10-16,1280304
2022-10-17,1281425
2022-10-18,1282529
2022-10-19,1283564
2022-10-20,1284670
2022-10-21,1285687
2022-10-22,1286959
2022-10-23,1288168
2022-10-24,1289079
2022-10-25,1289922
2022-10-26,1290841
2022-10-27,1291693
2022-10-28,1292611
2022-10-29,1293658
2022-10-30,1294729
2022-10-31,1295561
2022-11-01,1296328
2022-11-02,1297120
2022-11-03,1298104
2022-11-04,1298919
2022-11-05,1299831
2022-11-06,1300785
2022-11-07,1301678
2022-11-08,1302458
2022-11-09,1303305
2022-11-10,1304079
2022-11-11,1304962
2022-11-12,1306025
2022-11-13,1307120
2022-11-14,1308146
2022-11-15,1309081
2022-11-16,1309965
2022-11-17,1310881
2022-11-18,1311766
2022-11-19,1312823
2022-11-20,1313869
2022-11-21,1314586
2022-11-22,1315338
2022-11-23,1316253
2022-11-24,1317039
2022-11-25,1317804
2022-11-26,1318690
2022-11-27,1319608
2022-11-28,1320287
2022-11-29,1320944
2022-11-30,1321605
2022-12-01,1322343
2022-12-02,1322933
2022-12-03,1323726
2022-12-04,1324545
2022-12-05,1325234
2022-12-06,1325945
2022-12-07,1326623
2022-12-08,1327311
2022-12-09,1328050
2022-12-10,1328860
2022-12-11,1329632
2022-12-12,1330358
2022-12-13,1331056
2022-12-14,1331755
2022-12-15,1332452
2022-12-16,1333156
2022-12-17,1334063
2022-12-18,1334858
2022-12-19,1335540
2022-12-20,1336257
2022-12-21,1337049
2022-12-22,1337825
2022-12-23,1338609
2022-12-24,1339331
2022-12-25,1340064
2022-12-26,1340924
2022-12-27,1341780
2022-12-28,1342629
2022-12-29,1343386
2022-12-30,1344137
2022-12-31,1344866
2023-01-01,1345494
2023-01-02,1346176
2023-01-03,1346944
2023-01-04,1347714
2023-01-05,1348486
2023-01-06,1349260
2023-01-07,1350137
2023-01-08,1351064
2023-01-09,1352051
2023-01-10,1352806
2023-01-11,1353604
2023-01-12,1354428
2023-01-13,1355214
2023-01-14,1356222
2023-01-15,1357101
2023-01-16,1357807
2023-01-17,1358462
2023-01-18,1359127
2023-01-19,1359802
2023-01-20,1360502
2023-01-21,1361319
2023-01-22,1362133
2023-01-23,1362801
2023-01-24,1363493
2023-01-25,1364210
2023-01-26,1364903
2023-01-27,1365542
2023-01-28,1366318
2023-01-29,1367096
2023-01-30,1367821
2023-01-31,1368457
2023-02-01,1369075
2023-02-02,1369715
2023-02-03,1370339
2023-02-04,1371070
2023-02-05,1371873
2023-02-06,1372466
2023-02-07,1373133
2023-02-08,1373784
2023-02-09,1374367
2023-02-10,1375081
2023-02-11,1375778
2023-02-12,1376550
2023-02-13,1377122
2023-02-14,1377723
2023-02-15,1378407
2023-02-16,1378959
2023-02-17,1379536
2023-02-18,1380364
2023-02-19,1381183
2023-02-20,1381800
2023-02-21,1382428
2023-02-22,1383052
2023-02-23,1383767
2023-02-24,1384407
2023-02-25,1385167
2023-02-26,1385911
2023-02-27,1386525
2023-02-28,1387049
2023-03-01,1387581
2023-03-02,1388088
2023-03-03,1388636
2023-03-04,1389273
2023-03-05,1389876
2023-03-06,1390395
2023-03-07,1390897
2023-03-08,1391429
2023-03-09,1392028
2023-03-10,1392593
2023-03-11,1393253
2023-03-12,1393892
