date,count
2022-08-24,2171932
2022-08-25,2173844
2022-08-26,2175753
2022-08-27,2177706
2022-08-28,2179725
2022-08-29,2181535
2022-08-30,2183187
2022-08-31,2184865
2022-09-01,2186354
2022-09-02,2187751
2022-09-03,2189941
2022-09-04,2191918
2022-09-05,2193549
2022-09-06,2195207
2022-09-07,2196666
2022-09-08,2198196
2022-09-09,2199641
2022-09-10,2201353
2022-09-11,2203022
2022-09-12,2204385
2022-09-13,2205744
2022-09-14,2207229
2022-09-15,2208837
2022-09-16,2210487
2022-09-17,2212491
2022-09-18,2214466
2022-09-19,2216270
2022-09-20,2217776
2022-09-21,2219253
2022-09-22,2220879
2022-09-23,2223047
2022-09-24,2225162
2022-09-25,2227248
2022-09-26,2228980
2022-09-27,2230621
2022-09-28,2232277
2022-09-29,2234087
2022-09-30,2235763
2022-10-01,2237954
2022-10-02,2240330
2022-10-03,2242203
2022-10-04,2244069
2022-10-05,2245991
2022-10-06,2247966
2022-10-07,2249974
2022-10-08,2252100
2022-10-09,2254318
2022-10-10,2256592
2022-10-11,2258245
2022-10-12,2259932
2022-10-13,2261664
2022-10-14,2263372
2022-10-15,2265672
2022-10-16,2268034
2022-10-17,2269937
2022-10-18,2271843
2022-10-19,2273552
2022-10-20,2275250
2022-10-21,2276848
2022-10-22,2278965
2022-10-23,2281065
2022-10-24,2282826
2022-10-25,2284530
2022-10-26,2286260
2022-10-27,2287976
2022-10-28,2289990
2022-10-29,2292060
2022-10-30,2294204
2022-10-31,2295873
2022-11-01,2297469
2022-11-02,2298868
2022-11-03,2300615
2022-11-04,2301984
2022-11-05,2303521
2022-11-06,2305037
2022-11-07,2306497
2022-11-08,2307906
2022-11-09,2309315
2022-11-10,2310608
2022-11-11,2311906
2022-11-12,2313711
2022-11-13,2315624
2022-11-14,2317187
2022-11-15,2318909
2022-11-16,2320534
2022-11-17,2322205
2022-11-18,2323651
2022-11-19,2325162
2022-11-20,2326583
2022-11-21,2327791
2022-11-22,2329067
2022-11-23,2330562
2022-11-24,2331806
2022-11-25,2333168
2022-11-26,2334761
2022-11-27,2336375
2022-11-28,2337611
2022-11-29,2338913
2022-11-30,2340203
2022-12-01,2341389
2022-12-02,2342615
2022-12-03,2344102
2022-12-04,2345634
2022-12-05,2346908
2022-12-06,2348214
2022-12-07,2349688
2022-12-08,2351013
2022-12-09,2352338
2022-12-10,2353821
2022-12-11,2355246
2022-12-12,2356438
2022-12-13,2357654
2022-12-14,2358864
2022-12-15,2359991
2022-12-16,2361148
2022-12-17,2362440
2022-12-18,2363671
2022-12-19,2364732
2022-12-20,2365770
2022-12-21,2366789
2022-12-22,2367848
2022-12-23,2368875
2022-12-24,2369915
2022-12-25,2370973
2022-12-26,2372178
2022-12-27,2373392
2022-12-28,2374522
2022-12-29,2375645
2022-12-30,2376747
2022-12-31,2377901
2023-01-01,2378863
2023-01-02,2379996
2023-01-03,2381245
2023-01-04,2382418
2023-01-05,2383497
2023-01-06,2384560
2023-01-07,2385701
2023-01-08,2386847
2023-01-09,2388286
2023-01-10,2389370
2023-01-11,2390552
2023-01-12,2391695
2023-01-13,2392731
2023-01-14,2394205
2023-01-15,2395617
2023-01-16,2396679
2023-01-17,2397828
2023-01-18,2398882
2023-01-19,2399866
2023-01-20,2401048
2023-01-21,2402399
2023-01-22,2403699
2023-01-23,2404748
2023-01-24,2405801
2023-01-25,2406877
2023-01-26,2407939
2023-01-27,2409001
2023-01-28,2410174
2023-01-29,2411424
2023-01-30,2412482
2023-01-31,2413517
2023-02-01,2414533
2023-02-02,2415563
2023-02-03,2416697
2023-02-04,2418033
2023-02-05,2419385
2023-02-06,2420501
2023-02-07,2421715
2023-02-08,2422910
2023-02-09,2423948
2023-02-10,2425272
2023-02-11,2426856
2023-02-12,2428626
2023-02-13,2430100
2023-02-14,2431543
2023-02-15,2433335
2023-02-16,2434816
2023-02-17,2436144
2023-02-18,2437752
2023-02-19,2439403
2023-02-20,2440834
2023-02-21,2442316
2023-02-22,2443857
2023-02-23,2445698
2023-02-24,2447203
