date,count
2022-08-24,675911
2022-08-25,676791
2022-08-26,677674
2022-08-27,678647
2022-08-28,679496
2022-08-29,680365
2022-08-30,681208
2022-08-31,682078
2022-09-01,682860
2022-09-02,683546
2022-09-03,684556
2022-09-04,685474
2022-09-05,686121
2022-09-06,686870
2022-09-07,687525
2022-09-08,688256
2022-09-09,688967
2022-09-10,689796
2022-09-11,690611
2022-09-12,691300
2022-09-13,691971
2022-09-14,692632
2022-09-15,693326
2022-09-16,693960
2022-09-17,694778
2022-09-18,695527
2022-09-19,696280
2022-09-20,696936
2022-09-21,697543
2022-09-22,698162
2022-09-23,698861
2022-09-24,699636
2022-09-25,700316
2022-09-26,700997
2022-09-27,701668
2022-09-28,702438
2022-09-29,703250
2022-09-30,703903
2022-10-01,704844
2022-10-02,705926
2022-10-03,706938
2022-10-04,707877
2022-10-05,708784
2022-10-06,709762
2022-10-07,710773
2022-10-08,711897
2022-10-09,712904
2022-10-10,713993
2022-10-11,715082
2022-10-12,716045
2022-10-13,717065
