date,count
2022-08-24,6996243
2022-08-25,7001631
2022-08-26,7007189
2022-08-27,7012879
2022-08-28,7018513
2022-08-29,7023841
2022-08-30,7029046
2022-08-31,7034172
2022-09-01,7039100
2022-09-02,7043829
2022-09-03,7049711
2022-09-04,7055449
2022-09-05,7060305
2022-09-06,7064749
2022-09-07,7069256
2022-09-08,7073305
2022-09-09,7077491
2022-09-10,7082355
2022-09-11,7087421
2022-09-12,7091759
2022-09-13,7095742
2022-09-14,7099742
2022-09-15,7104133
2022-09-16,7108520
2022-09-17,7113493
2022-09-18,7118744
2022-09-19,7123383
2022-09-20,7127495
2022-09-21,7131807
2022-09-22,7136236
2022-09-23,7141251
2022-09-24,7146118
2022-09-25,7151059
2022-09-26,7155260
2022-09-27,7159448
2022-09-28,7163701
2022-09-29,7168297
2022-09-30,7172147
2022-10-01,7176734
2022-10-02,7181770
2022-10-03,7186117
2022-10-04,7190329
2022-10-05,7194506
2022-10-06,7199107
2022-10-07,7203822
2022-10-08,7208929
2022-10-09,7213661
2022-10-10,7218066
2022-10-11,7221858
2022-10-12,7225796
2022-10-13,7229729
2022-10-14,7233747
2022-10-15,7238597
2022-10-16,7243178
2022-10-17,7247113
2022-10-18,7250715
2022-10-19,7254072
2022-10-20,7257547
2022-10-21,7260801
2022-10-22,7264523
2022-10-23,7268318
2022-10-24,7271648
2022-10-25,7274684
2022-10-26,7277692
2022-10-27,7280586
2022-10-28,7283905
2022-10-29,7287390
2022-10-30,7291108
2022-10-31,7294361
2022-11-01,7297435
2022-11-02,7300579
2022-11-03,7304149
2022-11-04,7307178
2022-11-05,7310561
2022-11-06,7313767
2022-11-07,7316951
2022-11-08,7320084
2022-11-09,7323382
2022-11-10,7326769
2022-11-11,7329998
2022-11-12,7333967
2022-11-13,7337963
2022-11-14,7341592
2022-11-15,7345056
2022-11-16,7348381
2022-11-17,7351789
2022-11-18,7355288
2022-11-19,7359116
2022-11-20,7362811
2022-11-21,7365699
2022-11-22,7368745
2022-11-23,7372174
2022-11-24,7375231
2022-11-25,7378082
2022-11-26,7381406
2022-11-27,7384782
2022-11-28,7387448
2022-11-29,7390277
2022-11-30,7393259
2022-12-01,7395808
2022-12-02,7398812
2022-12-03,7401959
2022-12-04,7405321
2022-12-05,7408166
2022-12-06,7410783
2022-12-07,7413352
2022-12-08,7416091
2022-12-09,7418813
2022-12-10,7421830
2022-12-11,7424715
2022-12-12,7427330
2022-12-13,7429874
2022-12-14,7432456
2022-12-15,7435058
2022-12-16,7437675
2022-12-17,7440735
2022-12-18,7443523
2022-12-19,7446024
2022-12-20,7448695
2022-12-21,7451465
2022-12-22,7454415
2022-12-23,7457545
2022-12-24,7460550
2022-12-25,7463533
2022-12-26,7466915
2022-12-27,7470302
2022-12-28,7473490
2022-12-29,7476678
2022-12-30,7479657
2022-12-31,7482900
2023-01-01,7485428
2023-01-02,7488069
2023-01-03,7490904
2023-01-04,7493774
2023-01-05,7496503
