date,count
2022-08-24,1215158
2022-08-25,1217091
2022-08-26,1219009
2022-08-27,1220956
2022-08-28,1222722
2022-08-29,1224326
2022-08-30,1225866
2022-08-31,1227348
2022-09-01,1228773
2022-09-02,1230077
2022-09-03,1231771
2022-09-04,1233523
2022-09-05,1234925
2022-09-06,1236340
2022-09-07,1237817
2022-09-08,1239282
2022-09-09,1240548
2022-09-10,1242155
2022-09-11,1243823
2022-09-12,1245212
2022-09-13,1246462
2022-09-14,1247761
2022-09-15,1249158
2022-09-16,1250564
2022-09-17,1252187
2022-09-18,1253964
2022-09-19,1255614
2022-09-20,1257019
2022-09-21,1258405
2022-09-22,1259764
2022-09-23,1261423
2022-09-24,1263078
2022-09-25,1264718
2022-09-26,1266104
2022-09-27,1267612
2022-09-28,1269126
2022-09-29,1270771
2022-09-30,1271935
2022-10-01,1273514
2022-10-02,1275308
2022-10-03,1276780
2022-10-04,1278324
2022-10-05,1279797
2022-10-06,1281327
2022-10-07,1282975
2022-10-08,1284809
2022-10-09,1286564
2022-10-10,1288477
2022-10-11,1289929
2022-10-12,1291375
2022-10-13,1292817
2022-10-14,1294244
2022-10-15,1295885
2022-10-16,1297543
2022-10-17,1298953
2022-10-18,1300351
2022-10-19,1301706
2022-10-20,1303214
2022-10-21,1304500
2022-10-22,1306100
2022-10-23,1307678
2022-10-24,1308886
2022-10-25,1310013
2022-10-26,1311194
2022-10-27,1312248
2022-10-28,1313464
2022-10-29,1314796
2022-10-30,1316306
2022-10-31,1317475
2022-11-01,1318551
2022-11-02,1319659
2022-11-03,1320996
2022-11-04,1322066
2022-11-05,1323243
2022-11-06,1324335
2022-11-07,1325423
2022-11-08,1326460
2022-11-09,1327487
2022-11-10,1328550
2022-11-11,1329608
2022-11-12,1330997
2022-11-13,1332343
2022-11-14,1333523
2022-11-15,1334736
2022-11-16,1335898
2022-11-17,1337001
2022-11-18,1338093
2022-11-19,1339323
2022-11-20,1340630
2022-11-21,1341628
2022-11-22,1342636
2022-11-23,1343894
2022-11-24,1344962
2022-11-25,1346039
2022-11-26,1347260
2022-11-27,1348455
2022-11-28,1349394
2022-11-29,1350346
2022-11-30,1351306
2022-12-01,1352273
2022-12-02,1353222
2022-12-03,1354281
2022-12-04,1355500
2022-12-05,1356416
2022-12-06,1357377
2022-12-07,1358318
2022-12-08,1359289
2022-12-09,1360198
2022-12-10,1361380
2022-12-11,1362470
2022-12-12,1363468
2022-12-13,1364401
2022-12-14,1365428
2022-12-15,1366431
2022-12-16,1367416
2022-12-17,1368601
2022-12-18,1369721
2022-12-19,1370685
2022-12-20,1371608
2022-12-21,1372619
2022-12-22,1373610
2022-12-23,1374608
2022-12-24,1375583
2022-12-25,1376597
2022-12-26,1377847
2022-12-27,1379079
2022-12-28,1380244
2022-12-29,1381327
2022-12-30,1382393
2022-12-31,1383507
2023-01-01,1384410
2023-01-02,1385453
2023-01-03,1386600
2023-01-04,1387756
2023-01-05,1388888
2023-01-06,1389988
2023-01-07,1391209
2023-01-08,1392369
2023-01-09,1393852
2023-01-10,1395049
2023-01-11,1396195
2023-01-12,1397410
2023-01-13,1398606
2023-01-14,1400100
2023-01-15,1401547
2023-01-16,1402710
2023-01-17,1403927
2023-01-18,1405144
2023-01-19,1406454
2023-01-20,1407703
2023-01-21,1408988
2023-01-22,1410222
2023-01-23,1411244
2023-01-24,1412244
2023-01-25,1413216
2023-01-26,1414165
2023-01-27,1415131
2023-01-28,1416273
2023-01-29,1417425
2023-01-30,1418421
2023-01-31,1419328
2023-02-01,1420235
2023-02-02,1421149
2023-02-03,1422050
2023-02-04,1423051
2023-02-05,1424095
2023-02-06,1424889
2023-02-07,1425840
2023-02-08,1426706
2023-02-09,1427517
2023-02-10,1428498
2023-02-11,1429461
