date,count
2022-08-24,1802304
2022-08-25,1804845
2022-08-26,1807444
2022-08-27,1809988
2022-08-28,1812771
2022-08-29,1815287
2022-08-30,1817702
2022-08-31,1820375
2022-09-01,1822655
2022-09-02,1824668
2022-09-03,1827500
2022-09-04,1830092
2022-09-05,1832299
2022-09-06,1834590
2022-09-07,1836720
2022-09-08,1838873
2022-09-09,1840987
2022-09-10,1843671
2022-09-11,1846312
2022-09-12,1848297
2022-09-13,1850281
2022-09-14,1852233
2022-09-15,1854338
2022-09-16,1856505
2022-09-17,1859323
2022-09-18,1861848
2022-09-19,1864233
2022-09-20,1866304
2022-09-21,1868315
2022-09-22,1870459
2022-09-23,1873085
2022-09-24,1875569
2022-09-25,1877891
2022-09-26,1879798
2022-09-27,1881783
2022-09-28,1884001
2022-09-29,1886374
2022-09-30,1888201
2022-10-01,1890633
2022-10-02,1893090
2022-10-03,1895125
2022-10-04,1897341
2022-10-05,1899643
2022-10-06,1902074
2022-10-07,1904543
2022-10-08,1907102
2022-10-09,1909590
2022-10-10,1912113
2022-10-11,1914269
2022-10-12,1916537
2022-10-13,1918770
