date,count
2022-08-24,2661663
2022-08-25,2666806
2022-08-26,2672274
2022-08-27,2677588
2022-08-28,2682789
2022-08-29,2687957
2022-08-30,2692726
2022-08-31,2697368
2022-09-01,2701914
2022-09-02,2706216
2022-09-03,2711126
2022-09-04,2716171
2022-09-05,2721139
2022-09-06,2727362
2022-09-07,2733527
2022-09-08,2739590
2022-09-09,2745278
2022-09-10,2752283
2022-09-11,2759277
2022-09-12,2765857
2022-09-13,2772415
2022-09-14,2778981
2022-09-15,2786602
2022-09-16,2793685
2022-09-17,2801601
2022-09-18,2808690
2022-09-19,2816134
2022-09-20,2822758
2022-09-21,2829059
2022-09-22,2836182
2022-09-23,2845143
2022-09-24,2852726
2022-09-25,2860872
2022-09-26,2868575
2022-09-27,2877651
2022-09-28,2885413
2022-09-29,2894443
2022-09-30,2901586
2022-10-01,2909915
2022-10-02,2919432
2022-10-03,2927114
2022-10-04,2935956
2022-10-05,2944215
2022-10-06,2952167
2022-10-07,2960467
2022-10-08,2969379
2022-10-09,2978257
2022-10-10,2988984
2022-10-11,2998210
2022-10-12,3007377
2022-10-13,3016734
2022-10-14,3025909
2022-10-15,3035070
2022-10-16,3044216
2022-10-17,3053521
2022-10-18,3063160
2022-10-19,3071956
2022-10-20,3081596
2022-10-21,3089611
2022-10-22,3098488
2022-10-23,3107264
2022-10-24,3115446
2022-10-25,3122972
2022-10-26,3130751
2022-10-27,3138305
2022-10-28,3146775
2022-10-29,3155598
2022-10-30,3165198
2022-10-31,3173609
2022-11-01,3181754
2022-11-02,3190095
2022-11-03,3199964
2022-11-04,3207558
2022-11-05,3215330
2022-11-06,3223286
2022-11-07,3231267
2022-11-08,3238541
2022-11-09,3245739
2022-11-10,3252881
2022-11-11,3259702
2022-11-12,3268150
2022-11-13,3276242
2022-11-14,3283750
2022-11-15,3290997
2022-11-16,3298090
2022-11-17,3305106
2022-11-18,3311664
2022-11-19,3319202
2022-11-20,3326235
2022-11-21,3332547
2022-11-22,3338971
2022-11-23,3346201
2022-11-24,3352624
2022-11-25,3359155
2022-11-26,3365559
2022-11-27,3372296
2022-11-28,3378422
2022-11-29,3385107
2022-11-30,3391650
2022-12-01,3397931
2022-12-02,3403927
2022-12-03,3410433
2022-12-04,3417203
2022-12-05,3422885
2022-12-06,3428647
2022-12-07,3434363
2022-12-08,3440199
2022-12-09,3446226
2022-12-10,3453414
2022-12-11,3460409
2022-12-12,3467072
2022-12-13,3473537
2022-12-14,3479744
2022-12-15,3485781
2022-12-16,3492038
2022-12-17,3498885
2022-12-18,3505200
2022-12-19,3511203
2022-12-20,3517244
2022-12-21,3523374
2022-12-22,3529364
2022-12-23,3535803
2022-12-24,3541999
2022-12-25,3548299
2022-12-26,3555242
2022-12-27,3562350
2022-12-28,3568992
2022-12-29,3575223
2022-12-30,3580851
2022-12-31,3586944
2023-01-01,3591240
2023-01-02,3596033
2023-01-03,3601173
2023-01-04,3606576
2023-01-05,3611645
2023-01-06,3616825
2023-01-07,3622075
2023-01-08,3626740
2023-01-09,3632449
2023-01-10,3635822
2023-01-11,3642231
2023-01-12,3647606
2023-01-13,3652263
2023-01-14,3657786
2023-01-15,3663328
2023-01-16,3668168
2023-01-17,3672950
2023-01-18,3677329
2023-01-19,3681668
2023-01-20,3685959
2023-01-21,3690524
2023-01-22,3694966
2023-01-23,3699369
2023-01-24,3703969
2023-01-25,3708489
2023-01-26,3712761
2023-01-27,3717160
2023-01-28,3721968
2023-01-29,3726778
2023-01-30,3731476
2023-01-31,3735837
2023-02-01,3740231
2023-02-02,3744449
2023-02-03,3748895
2023-02-04,3753661
2023-02-05,3758550
2023-02-06,3762760
2023-02-07,3766746
2023-02-08,3770688
2023-02-09,3774592
2023-02-10,3778761
2023-02-11,3783189
2023-02-12,3787708
2023-02-13,3791636
2023-02-14,3795745
2023-02-15,3800559
2023-02-16,3804577
2023-02-17,3808754
2023-02-18,3813205
2023-02-19,3817958
2023-02-20,3822119
2023-02-21,3826050
2023-02-22,3830097
2023-02-23,3834379
2023-02-24,3838431
2023-02-25,3842577
2023-02-26,3846761
2023-02-27,3850742
2023-02-28,3854650
2023-03-01,3858569
2023-03-02,3862485
2023-03-03,3866384
2023-03-04,3870459
2023-03-05,3874528
2023-03-06,3878270
2023-03-07,3882209
2023-03-08,3886076
2023-03-09,3889649
2023-03-10,3893453
