date,count
2022-12-01,0
2022-12-02,0
2022-12-03,0
2022-12-04,0
2022-12-05,0
2022-12-06,0
2022-12-07,0
2022-12-08,0
2022-12-09,38714
2022-12-10,160143
2022-12-11,196894
2022-12-12,226244
2022-12-13,251922
2022-12-14,274450
2022-12-15,296652
2022-12-16,316208
2022-12-17,336354
2022-12-18,355299
2022-12-19,372017
2022-12-20,390002
2022-12-21,405806
2022-12-22,421098
2022-12-23,437211
2022-12-24,452067
2022-12-25,465556
2022-12-26,480189
2022-12-27,493845
2022-12-28,507149
2022-12-29,519615
2022-12-30,530850
2022-12-31,541711
2023-01-01,550372
2023-01-02,559662
2023-01-03,569524
2023-01-04,579135
2023-01-05,588532
2023-01-06,598099
2023-01-07,607389
2023-01-08,616144
2023-01-09,626098
2023-01-10,632027
2023-01-11,643079
2023-01-12,651719
2023-01-13,659559
2023-01-14,668965
2023-01-15,678151
2023-01-16,686084
2023-01-17,693446
2023-01-18,700709
2023-01-19,707866
2023-01-20,715112
2023-01-21,723219
2023-01-22,731009
2023-01-23,738333
2023-01-24,746124
2023-01-25,753923
2023-01-26,761317
2023-01-27,768276
2023-01-28,775774
2023-01-29,783840
2023-01-30,792680
2023-01-31,800355
2023-02-01,807898
2023-02-02,815135
2023-02-03,822232
2023-02-04,830236
2023-02-05,838355
2023-02-06,845313
2023-02-07,852032
2023-02-08,858940
2023-02-09,865670
2023-02-10,872982
2023-02-11,879687
2023-02-12,887038
2023-02-13,893854
2023-02-14,900322
2023-02-15,906957
2023-02-16,912552
2023-02-17,918035
2023-02-18,925192
2023-02-19,932775
2023-02-20,938840
2023-02-21,945189
2023-02-22,951536
