date,count
2022-08-24,5359778
2022-08-25,5368678
2022-08-26,5377712
2022-08-27,5387078
2022-08-28,5396050
2022-08-29,5405245
2022-08-30,5414055
2022-08-31,5422697
2022-09-01,5430121
2022-09-02,5436919
2022-09-03,5445845
2022-09-04,5454741
2022-09-05,5462522
2022-09-06,5470262
2022-09-07,5477725
2022-09-08,5484996
2022-09-09,5492102
2022-09-10,5500719
2022-09-11,5509403
2022-09-12,5516573
2022-09-13,5523395
2022-09-14,5530367
2022-09-15,5538067
2022-09-16,5545584
2022-09-17,5554775
2022-09-18,5563808
2022-09-19,5572283
2022-09-20,5579460
2022-09-21,5586819
2022-09-22,5594722
2022-09-23,5604467
2022-09-24,5613927
2022-09-25,5623481
2022-09-26,5631383
2022-09-27,5639266
2022-09-28,5647424
2022-09-29,5657363
2022-09-30,5665903
2022-10-01,5675892
2022-10-02,5686145
2022-10-03,5695405
2022-10-04,5704749
2022-10-05,5713752
2022-10-06,5723258
2022-10-07,5732625
2022-10-08,5743616
2022-10-09,5754285
2022-10-10,5765321
2022-10-11,5774266
2022-10-12,5783031
2022-10-13,5791967
2022-10-14,5801054
2022-10-15,5811410
2022-10-16,5821560
2022-10-17,5830471
2022-10-18,5838887
2022-10-19,5847047
2022-10-20,5855864
2022-10-21,5863753
2022-10-22,5874458
2022-10-23,5885103
2022-10-24,5893896
2022-10-25,5902029
2022-10-26,5910746
