date,count
2022-08-24,3990443
2022-08-25,3993437
2022-08-26,3996213
2022-08-27,3999065
2022-08-28,4001822
2022-08-29,4004813
2022-08-30,4007641
2022-08-31,4010296
2022-09-01,4012692
2022-09-02,4015169
2022-09-03,4018201
2022-09-04,4021306
2022-09-05,4024063
2022-09-06,4026834
2022-09-07,4029530
2022-09-08,4032198
2022-09-09,4034649
2022-09-10,4037362
2022-09-11,4040290
2022-09-12,4042807
2022-09-13,4045325
2022-09-14,4047714
2022-09-15,4050233
2022-09-16,4052803
2022-09-17,4055573
2022-09-18,4058462
2022-09-19,4061320
2022-09-20,4063995
2022-09-21,4066609
2022-09-22,4069291
2022-09-23,4072426
2022-09-24,4075220
2022-09-25,4078043
2022-09-26,4080814
2022-09-27,4083484
2022-09-28,4086293
2022-09-29,4089093
2022-09-30,4091484
2022-10-01,4094116
2022-10-02,4097059
2022-10-03,4099968
2022-10-04,4102796
2022-10-05,4105630
2022-10-06,4108463
2022-10-07,4111435
2022-10-08,4114697
2022-10-09,4117629
2022-10-10,4120999
2022-10-11,4123862
2022-10-12,4126589
2022-10-13,4129396
2022-10-14,4132285
2022-10-15,4134767
2022-10-16,4137581
2022-10-17,4140360
2022-10-18,4143019
2022-10-19,4145455
2022-10-20,4147838
2022-10-21,4150192
2022-10-22,4152758
2022-10-23,4155429
2022-10-24,4157822
2022-10-25,4160190
2022-10-26,4162539
2022-10-27,4164951
2022-10-28,4167586
2022-10-29,4170315
2022-10-30,4173349
2022-10-31,4176059
2022-11-01,4178644
2022-11-02,4181174
2022-11-03,4183886
2022-11-04,4186477
2022-11-05,4189068
2022-11-06,4191458
2022-11-07,4194013
2022-11-08,4196209
2022-11-09,4198345
2022-11-10,4200603
2022-11-11,4202851
2022-11-12,4205390
2022-11-13,4208118
2022-11-14,4210818
2022-11-15,4213374
2022-11-16,4215998
2022-11-17,4218589
2022-11-18,4221120
2022-11-19,4223847
2022-11-20,4226217
2022-11-21,4228548
2022-11-22,4231176
2022-11-23,4233748
2022-11-24,4236243
2022-11-25,4238763
2022-11-26,4241351
2022-11-27,4244012
2022-11-28,4246543
2022-11-29,4249144
2022-11-30,4251820
2022-12-01,4254490
2022-12-02,4257126
2022-12-03,4260005
2022-12-04,4262857
2022-12-05,4265363
2022-12-06,4267899
2022-12-07,4270502
2022-12-08,4273150
2022-12-09,4275761
2022-12-10,4278749
2022-12-11,4281413
2022-12-12,4283969
2022-12-13,4286442
2022-12-14,4288718
2022-12-15,4291160
2022-12-16,4293460
2022-12-17,4295940
2022-12-18,4298392
2022-12-19,4300773
2022-12-20,4303257
2022-12-21,4305603
2022-12-22,4307994
2022-12-23,4310297
2022-12-24,4312523
2022-12-25,4314683
2022-12-26,4317086
2022-12-27,4319749
2022-12-28,4322445
2022-12-29,4324980
2022-12-30,4327283
2022-12-31,4329533
2023-01-01,4331360
2023-01-02,4333292
2023-01-03,4335477
2023-01-04,4337613
2023-01-05,4339785
2023-01-06,4342154
2023-01-07,4344410
2023-01-08,4346640
2023-01-09,4349464
2023-01-10,4351852
2023-01-11,4354512
2023-01-12,4357346
2023-01-13,4360048
2023-01-14,4363043
2023-01-15,4365896
2023-01-16,4368302
2023-01-17,4370668
2023-01-18,4372890
2023-01-19,4375130
2023-01-20,4377398
2023-01-21,4379774
2023-01-22,4382163
2023-01-23,4384511
2023-01-24,4386962
2023-01-25,4389423
2023-01-26,4391794
2023-01-27,4394108
2023-01-28,4396561
2023-01-29,4399008
2023-01-30,4401859
2023-01-31,4404299
2023-02-01,4406721
2023-02-02,4409218
2023-02-03,4411601
2023-02-04,4414335
2023-02-05,4416966
2023-02-06,4419213
2023-02-07,4421514
2023-02-08,4423931
2023-02-09,4426323
2023-02-10,4429152
2023-02-11,4431932
2023-02-12,4434700
2023-02-13,4437065
2023-02-14,4439556
2023-02-15,4442108
2023-02-16,4444376
2023-02-17,4446639
2023-02-18,4449151
2023-02-19,4451954
2023-02-20,4454481
2023-02-21,4456861
2023-02-22,4459262
2023-02-23,4461884
2023-02-24,4464465
2023-02-25,4467067
2023-02-26,4469730
2023-02-27,4472294
2023-02-28,4474823
2023-03-01,4477419
2023-03-02,4479772
2023-03-03,4482340
2023-03-04,4484845
2023-03-05,4487568
2023-03-06,4490098
2023-03-07,4492757
2023-03-08,4495395
2023-03-09,4497826
2023-03-10,4500474
2023-03-11,4503138
2023-03-12,4505789
2023-03-13,4508352
2023-03-14,4510910
2023-03-15,4513399
2023-03-16,4515829
2023-03-17,4518138
2023-03-18,4520433
2023-03-19,4522753
2023-03-20,4525087
2023-03-21,4527330
2023-03-22,4529583
2023-03-23,4531758
2023-03-24,4533964
2023-03-25,4536064
2023-03-26,4538194
2023-03-27,4540381
2023-03-28,4542434
2023-03-29,4544505
2023-03-30,4546503
2023-03-31,4548518
2023-04-01,4550443
2023-04-02,4552524
2023-04-03,4554678
2023-04-04,4557044
2023-04-05,4559295
2023-04-06,4561488
2023-04-07,4563544
2023-04-08,4565573
2023-04-09,4567781
2023-04-10,4569772
2023-04-11,4571695
2023-04-12,4573638
