date,count
2022-09-30,0
2022-10-01,104101
2022-10-02,236658
2022-10-03,285085
2022-10-04,330751
2022-10-05,368165
2022-10-06,403840
2022-10-07,440682
2022-10-08,479528
2022-10-09,510240
2022-10-10,542359
2022-10-11,570762
2022-10-12,595186
2022-10-13,618209
2022-10-14,639890
2022-10-15,662634
2022-10-16,684529
2022-10-17,705284
2022-10-18,724398
2022-10-19,742547
2022-10-20,760327
2022-10-21,777318
2022-10-22,795662
2022-10-23,814624
2022-10-24,831991
2022-10-25,847500
2022-10-26,862659
2022-10-27,876485
2022-10-28,892222
2022-10-29,909710
2022-10-30,928663
2022-10-31,944993
2022-11-01,960690
2022-11-02,976597
2022-11-03,993893
2022-11-04,1007705
2022-11-05,1021972
2022-11-06,1035658
2022-11-07,1050388
2022-11-08,1062678
2022-11-09,1074947
2022-11-10,1086613
2022-11-11,1098276
2022-11-12,1113131
2022-11-13,1127519
2022-11-14,1140554
2022-11-15,1152413
2022-11-16,1164090
2022-11-17,1175450
2022-11-18,1186631
2022-11-19,1199258
2022-11-20,1211375
2022-11-21,1222182
2022-11-22,1233037
2022-11-23,1245048
2022-11-24,1256117
2022-11-25,1266594
2022-11-26,1277972
2022-11-27,1289363
2022-11-28,1299424
2022-11-29,1310526
2022-11-30,1321022
2022-12-01,1330880
2022-12-02,1340675
2022-12-03,1351510
2022-12-04,1362349
2022-12-05,1372045
2022-12-06,1381652
2022-12-07,1391195
2022-12-08,1400961
2022-12-09,1410614
2022-12-10,1422055
2022-12-11,1432556
2022-12-12,1442146
2022-12-13,1451383
2022-12-14,1460337
2022-12-15,1469510
2022-12-16,1478430
2022-12-17,1487983
2022-12-18,1496881
2022-12-19,1505106
2022-12-20,1513456
2022-12-21,1521760
2022-12-22,1530130
2022-12-23,1539081
2022-12-24,1547733
2022-12-25,1556132
2022-12-26,1566029
2022-12-27,1576312
2022-12-28,1586756
2022-12-29,1596664
2022-12-30,1605485
2022-12-31,1614158
2023-01-01,1621606
2023-01-02,1629532
2023-01-03,1638123
2023-01-04,1647086
2023-01-05,1655826
2023-01-06,1664559
2023-01-07,1673259
2023-01-08,1682440
2023-01-09,1693800
2023-01-10,1700596
2023-01-11,1712576
2023-01-12,1722362
2023-01-13,1731456
2023-01-14,1741827
2023-01-15,1752156
2023-01-16,1760762
2023-01-17,1769531
2023-01-18,1777898
2023-01-19,1786347
2023-01-20,1794673
2023-01-21,1803881
2023-01-22,1812925
2023-01-23,1821458
2023-01-24,1830329
2023-01-25,1838889
2023-01-26,1847253
2023-01-27,1855746
2023-01-28,1864638
2023-01-29,1873419
2023-01-30,1884278
2023-01-31,1893560
2023-02-01,1902509
2023-02-02,1911472
2023-02-03,1920740
2023-02-04,1930351
2023-02-05,1940459
2023-02-06,1949260
2023-02-07,1957987
2023-02-08,1966150
2023-02-09,1974193
2023-02-10,1983167
2023-02-11,1992261
2023-02-12,2002083
2023-02-13,2010565
2023-02-14,2018775
2023-02-15,2027605
2023-02-16,2035683
2023-02-17,2043235
2023-02-18,2051689
2023-02-19,2060538
2023-02-20,2068715
2023-02-21,2076614
2023-02-22,2084318
2023-02-23,2092756
2023-02-24,2100649
2023-02-25,2108773
2023-02-26,2117097
2023-02-27,2125149
2023-02-28,2132649
2023-03-01,2140240
2023-03-02,2147746
2023-03-03,2155346
2023-03-04,2163017
2023-03-05,2170978
2023-03-06,2178558
2023-03-07,2185957
2023-03-08,2193548
2023-03-09,2200412
2023-03-10,2207535
2023-03-11,2215036
2023-03-12,2222659
2023-03-13,2230281
2023-03-14,2237364
2023-03-15,2244387
2023-03-16,2251306
2023-03-17,2258292
2023-03-18,2265277
2023-03-19,2271925
2023-03-20,2278877
2023-03-21,2285383
2023-03-22,2291806
2023-03-23,2298372
2023-03-24,2305544
2023-03-25,2312420
2023-03-26,2319416
2023-03-27,2326496
2023-03-28,2333345
2023-03-29,2339935
2023-03-30,2346421
2023-03-31,2353372
2023-04-01,2360047
2023-04-02,2367460
2023-04-03,2375381
2023-04-04,2383332
2023-04-05,2390729
2023-04-06,2398094
2023-04-07,2404946
2023-04-08,2411449
2023-04-09,2418679
