date,count
2023-03-13,110940
2023-03-14,193084
2023-03-15,232590
2023-03-16,263906
2023-03-17,289112
2023-03-18,312610
2023-03-19,332425
2023-03-20,351658
2023-03-21,367796
2023-03-22,383801
2023-03-23,400830
2023-03-24,419555
2023-03-25,436051
2023-03-26,451829
2023-03-27,467699
2023-03-28,482225
2023-03-29,505936
2023-03-30,525008
2023-03-31,541801
2023-04-01,556348
2023-04-02,571963
2023-04-03,588446
2023-04-04,605025
2023-04-05,621325
2023-04-06,637514
2023-04-07,652984
2023-04-08,667934
2023-04-09,682636
2023-04-10,695476
2023-04-11,707289
2023-04-12,718812
