date,count
2022-10-03,0
2022-10-04,226544
2022-10-05,404935
2022-10-06,473183
2022-10-07,537454
2022-10-08,602579
2022-10-09,653011
2022-10-10,703443
2022-10-11,743199
2022-10-12,775923
2022-10-13,806843
2022-10-14,837319
2022-10-15,869156
2022-10-16,900766
2022-10-17,928901
2022-10-18,954658
2022-10-19,978663
2022-10-20,1003582
2022-10-21,1026465
2022-10-22,1051397
2022-10-23,1076097
2022-10-24,1097285
2022-10-25,1117119
2022-10-26,1136097
2022-10-27,1153577
2022-10-28,1172816
2022-10-29,1196208
2022-10-30,1220721
2022-10-31,1240974
2022-11-01,1260380
2022-11-02,1278474
2022-11-03,1298070
2022-11-04,1314894
2022-11-05,1333445
2022-11-06,1351073
2022-11-07,1369099
2022-11-08,1385492
2022-11-09,1401710
2022-11-10,1417726
2022-11-11,1433832
2022-11-12,1455029
2022-11-13,1475114
2022-11-14,1492847
2022-11-15,1509381
2022-11-16,1525791
2022-11-17,1540926
2022-11-18,1555621
2022-11-19,1572211
2022-11-20,1589654
2022-11-21,1604645
2022-11-22,1619253
2022-11-23,1636569
2022-11-24,1652277
2022-11-25,1667623
