date,count
2022-08-24,1427163
2022-08-25,1428995
2022-08-26,1430810
2022-08-27,1432556
2022-08-28,1434205
2022-08-29,1435810
2022-08-30,1437289
2022-08-31,1438849
2022-09-01,1440230
2022-09-02,1441482
2022-09-03,1443344
2022-09-04,1445097
2022-09-05,1446449
2022-09-06,1447845
2022-09-07,1449297
2022-09-08,1450716
2022-09-09,1452022
2022-09-10,1453753
2022-09-11,1455409
2022-09-12,1456736
2022-09-13,1457974
2022-09-14,1459192
2022-09-15,1460584
2022-09-16,1461772
2022-09-17,1463330
2022-09-18,1464986
2022-09-19,1466595
2022-09-20,1467806
2022-09-21,1469058
2022-09-22,1470295
2022-09-23,1471956
2022-09-24,1473492
2022-09-25,1475001
2022-09-26,1476293
2022-09-27,1477649
2022-09-28,1478973
2022-09-29,1480404
2022-09-30,1481487
2022-10-01,1483055
2022-10-02,1484599
2022-10-03,1485900
2022-10-04,1487176
2022-10-05,1488508
2022-10-06,1489954
2022-10-07,1491413
2022-10-08,1493061
2022-10-09,1494606
2022-10-10,1496222
2022-10-11,1497545
2022-10-12,1498865
2022-10-13,1500269
2022-10-14,1501636
2022-10-15,1503198
2022-10-16,1504800
2022-10-17,1506193
2022-10-18,1507422
2022-10-19,1508666
2022-10-20,1510234
2022-10-21,1511516
2022-10-22,1513145
2022-10-23,1514672
2022-10-24,1515920
2022-10-25,1517161
2022-10-26,1518347
2022-10-27,1519648
2022-10-28,1520978
2022-10-29,1522424
2022-10-30,1523983
2022-10-31,1525214
2022-11-01,1526382
