date,count
2022-08-24,1911797
2022-08-25,1930186
2022-08-26,1948293
2022-08-27,1967780
2022-08-28,1986153
2022-08-29,2004058
2022-08-30,2021236
2022-08-31,2039620
2022-09-01,2056290
2022-09-02,2071544
2022-09-03,2090601
2022-09-04,2108702
2022-09-05,2124762
2022-09-06,2141063
2022-09-07,2156465
2022-09-08,2171591
2022-09-09,2185522
2022-09-10,2202344
2022-09-11,2219761
2022-09-12,2234439
2022-09-13,2248489
2022-09-14,2262795
2022-09-15,2278177
2022-09-16,2292823
2022-09-17,2309908
2022-09-18,2327215
2022-09-19,2344958
2022-09-20,2360661
2022-09-21,2375669
2022-09-22,2391124
2022-09-23,2409071
2022-09-24,2425321
2022-09-25,2441960
2022-09-26,2456960
2022-09-27,2471718
2022-09-28,2486326
2022-09-29,2502481
2022-09-30,2516064
2022-10-01,2532612
2022-10-02,2550559
2022-10-03,2565765
2022-10-04,2581640
2022-10-05,2597624
2022-10-06,2613239
2022-10-07,2628070
2022-10-08,2645003
2022-10-09,2661982
2022-10-10,2680269
2022-10-11,2695702
2022-10-12,2710831
2022-10-13,2725452
2022-10-14,2739866
2022-10-15,2755771
2022-10-16,2771927
2022-10-17,2786707
2022-10-18,2801107
2022-10-19,2814709
2022-10-20,2827977
2022-10-21,2840429
2022-10-22,2854342
2022-10-23,2868736
2022-10-24,2881468
2022-10-25,2892827
2022-10-26,2904155
2022-10-27,2915669
2022-10-28,2928014
2022-10-29,2942034
2022-10-30,2957955
2022-10-31,2972051
2022-11-01,2985818
2022-11-02,2998537
2022-11-03,3012930
2022-11-04,3024800
2022-11-05,3037533
2022-11-06,3049064
2022-11-07,3061372
2022-11-08,3071578
2022-11-09,3082504
2022-11-10,3092611
2022-11-11,3103120
2022-11-12,3116806
2022-11-13,3131244
2022-11-14,3143203
2022-11-15,3154305
2022-11-16,3166031
2022-11-17,3177755
2022-11-18,3189333
2022-11-19,3202013
2022-11-20,3214193
2022-11-21,3224892
2022-11-22,3235337
2022-11-23,3247662
2022-11-24,3258668
2022-11-25,3269421
2022-11-26,3280976
2022-11-27,3293018
2022-11-28,3303108
2022-11-29,3314553
2022-11-30,3325753
2022-12-01,3336703
2022-12-02,3347201
2022-12-03,3358254
2022-12-04,3370365
2022-12-05,3380544
2022-12-06,3391035
2022-12-07,3401444
2022-12-08,3411445
2022-12-09,3421049
2022-12-10,3432976
2022-12-11,3444382
2022-12-12,3454924
2022-12-13,3465274
2022-12-14,3475707
2022-12-15,3485830
2022-12-16,3496399
2022-12-17,3508332
2022-12-18,3519278
2022-12-19,3528770
2022-12-20,3538655
2022-12-21,3548198
2022-12-22,3557955
2022-12-23,3568054
