date,count
2022-08-24,1423346
2022-08-25,1425644
2022-08-26,1427961
2022-08-27,1430362
2022-08-28,1432611
2022-08-29,1434815
2022-08-30,1436815
2022-08-31,1438838
2022-09-01,1440745
2022-09-02,1442402
2022-09-03,1444825
2022-09-04,1447106
2022-09-05,1448871
2022-09-06,1450710
2022-09-07,1452541
2022-09-08,1454268
2022-09-09,1455923
2022-09-10,1458010
2022-09-11,1460134
2022-09-12,1461643
2022-09-13,1463155
2022-09-14,1464736
2022-09-15,1466391
2022-09-16,1467931
2022-09-17,1470009
2022-09-18,1472019
2022-09-19,1474045
2022-09-20,1475679
2022-09-21,1477301
2022-09-22,1478928
2022-09-23,1480930
2022-09-24,1482856
2022-09-25,1484907
2022-09-26,1486578
2022-09-27,1488396
2022-09-28,1490144
2022-09-29,1492042
2022-09-30,1493445
2022-10-01,1495456
2022-10-02,1497589
2022-10-03,1499429
2022-10-04,1501239
2022-10-05,1502989
2022-10-06,1504952
2022-10-07,1506844
2022-10-08,1509056
2022-10-09,1511226
2022-10-10,1513461
2022-10-11,1515160
2022-10-12,1516979
2022-10-13,1518755
2022-10-14,1520566
2022-10-15,1522716
2022-10-16,1524974
2022-10-17,1526817
2022-10-18,1528496
2022-10-19,1530152
2022-10-20,1531944
2022-10-21,1533421
2022-10-22,1535446
2022-10-23,1537654
2022-10-24,1539393
2022-10-25,1540931
2022-10-26,1542599
2022-10-27,1544221
2022-10-28,1545881
2022-10-29,1547866
2022-10-30,1549757
2022-10-31,1551252
2022-11-01,1552854
2022-11-02,1554293
2022-11-03,1556145
2022-11-04,1557657
2022-11-05,1559389
2022-11-06,1561018
2022-11-07,1562489
2022-11-08,1564040
2022-11-09,1565556
2022-11-10,1566997
2022-11-11,1568441
2022-11-12,1570356
2022-11-13,1572301
2022-11-14,1573771
2022-11-15,1575278
2022-11-16,1576914
2022-11-17,1578564
2022-11-18,1580158
2022-11-19,1581981
2022-11-20,1583794
2022-11-21,1585238
2022-11-22,1586690
2022-11-23,1588573
2022-11-24,1589948
2022-11-25,1591400
