date,count
2022-08-24,310863
2022-08-25,311984
2022-08-26,313055
2022-08-27,314145
2022-08-28,315156
2022-08-29,316080
2022-08-30,317023
2022-08-31,317965
2022-09-01,318853
2022-09-02,319685
2022-09-03,320817
2022-09-04,321961
2022-09-05,322840
2022-09-06,323755
2022-09-07,324622
2022-09-08,325496
2022-09-09,326349
2022-09-10,327358
2022-09-11,328427
2022-09-12,329324
2022-09-13,330076
2022-09-14,330846
2022-09-15,331632
2022-09-16,332405
2022-09-17,333324
2022-09-18,334347
2022-09-19,335308
2022-09-20,336089
2022-09-21,336815
2022-09-22,337551
2022-09-23,338603
2022-09-24,339638
2022-09-25,340644
2022-09-26,341444
2022-09-27,342306
2022-09-28,343128
2022-09-29,343977
2022-09-30,344718
2022-10-01,345793
2022-10-02,347030
2022-10-03,347898
2022-10-04,348825
2022-10-05,349719
2022-10-06,350720
2022-10-07,351805
2022-10-08,352979
2022-10-09,354104
2022-10-10,355322
2022-10-11,356229
2022-10-12,357145
2022-10-13,358018
2022-10-14,358827
2022-10-15,359898
2022-10-16,360981
2022-10-17,361879
2022-10-18,362724
2022-10-19,363578
2022-10-20,364540
2022-10-21,365357
2022-10-22,366357
2022-10-23,367350
2022-10-24,368134
2022-10-25,368852
2022-10-26,369560
2022-10-27,370285
2022-10-28,371063
2022-10-29,371982
2022-10-30,372959
2022-10-31,373709
2022-11-01,374387
2022-11-02,375070
2022-11-03,375943
2022-11-04,376644
2022-11-05,377491
2022-11-06,378353
2022-11-07,379101
2022-11-08,379777
2022-11-09,380511
2022-11-10,381226
