date,count
2022-12-29,468581
2022-12-30,542747
2022-12-31,610294
2023-01-01,654869
2023-01-02,697500
2023-01-03,740126
2023-01-04,778937
2023-01-05,816977
2023-01-06,853611
2023-01-07,885781
2023-01-08,916660
2023-01-09,950209
2023-01-10,969307
2023-01-11,1006443
2023-01-12,1034235
2023-01-13,1059958
2023-01-14,1090837
2023-01-15,1122267
2023-01-16,1145469
2023-01-17,1169829
2023-01-18,1192909
2023-01-19,1215210
2023-01-20,1236657
2023-01-21,1261090
2023-01-22,1284335
2023-01-23,1305253
2023-01-24,1328497
2023-01-25,1353279
2023-01-26,1375957
2023-01-27,1396488
2023-01-28,1418538
2023-01-29,1439365
2023-01-30,1459346
2023-01-31,1480161
2023-02-01,1499659
2023-02-02,1521939
2023-02-03,1541966
2023-02-04,1563393
2023-02-05,1586247
2023-02-06,1605687
2023-02-07,1625909
2023-02-08,1645663
2023-02-09,1664584
2023-02-10,1685771
2023-02-11,1707072
2023-02-12,1730336
2023-02-13,1748565
2023-02-14,1768545
2023-02-15,1790898
2023-02-16,1811700
2023-02-17,1830049
2023-02-18,1850663
2023-02-19,1872080
2023-02-20,1889276
2023-02-21,1904859
2023-02-22,1920481
2023-02-23,1938515
2023-02-24,1954562
2023-02-25,1972627
2023-02-26,1989696
2023-02-27,2005805
2023-02-28,2021582
2023-03-01,2037967
2023-03-02,2053956
2023-03-03,2070473
2023-03-04,2087413
2023-03-05,2104589
2023-03-06,2120219
2023-03-07,2136511
2023-03-08,2154443
2023-03-09,2170745
2023-03-10,2187588
2023-03-11,2206146
2023-03-12,2224239
2023-03-13,2240790
2023-03-14,2256819
2023-03-15,2273430
2023-03-16,2289704
2023-03-17,2305596
2023-03-18,2323833
2023-03-19,2341718
2023-03-20,2359872
2023-03-21,2377878
2023-03-22,2395881
2023-03-23,2413968
2023-03-24,2433880
2023-03-25,2453152
2023-03-26,2472115
2023-03-27,2490130
2023-03-28,2506899
2023-03-29,2523401
2023-03-30,2539783
2023-03-31,2555879
2023-04-01,2571017
2023-04-02,2587532
2023-04-03,2604969
2023-04-04,2622392
2023-04-05,2638796
2023-04-06,2656059
2023-04-07,2672800
2023-04-08,2690368
2023-04-09,2708005
2023-04-10,2723811
2023-04-11,2738705
2023-04-12,2753248
2023-04-13,2766104
2023-04-14,2778690
2023-04-15,2793180
2023-04-16,2807278
2023-04-17,2818593
2023-04-18,2828960
2023-04-19,2839370
2023-04-20,2850020
2023-04-21,2860489
2023-04-22,2872933
2023-04-23,2885518
2023-04-24,2895963
2023-04-25,2906243
2023-04-26,2916774
2023-04-27,2926697
2023-04-28,2936258
2023-04-29,2947586
